Nome,Elemento,Mutazione,Stato,Errore
NavbarSearch,alpha,a,KO,Target element has no attributes
NavbarSearch,beta,a,KO,Target element has no attributes
NavbarSearch,alpha,b,KO,Target element has no valid candidate attributes
NavbarSearch,beta,b,KO,Target element has no valid candidate attributes
NavbarSearch,alpha,c,KO,Target element has no id attribute
NavbarSearch,beta,c,KO,Target element has no id attribute
NavbarSearch,alpha,d,KO,Target element text content is empty
NavbarSearch,beta,d,OK,
NavbarSearch,alpha,e,KO,Target element text content is empty
NavbarSearch,beta,e,OK,
NavbarSearch,alpha,f,KO,The parent is null or empty
NavbarSearch,beta,f,OK,
NavbarSearch,alpha,g,OK,
NavbarSearch,beta,g,OK,
NavbarSearch,alpha,h,OK,
NavbarSearch,beta,h,OK,
NavbarSearch,alpha,i,OK,
NavbarSearch,beta,i,OK,
NavbarSearch,alpha,j,OK,
NavbarSearch,beta,j,OK,
NavbarSearch,alpha,k,OK,
NavbarSearch,beta,k,OK,
SearchInput,alpha,a,KO,Target element has no attributes
SearchInput,delta,a,KO,Target element has no attributes
SearchInput,beta,a,KO,Target element has no attributes
SearchInput,alpha,b,KO,Target element has no valid candidate attributes
SearchInput,delta,b,KO,Target element has no valid candidate attributes
SearchInput,beta,b,KO,Target element has no valid candidate attributes
SearchInput,alpha,c,KO,Target element has no id attribute
SearchInput,delta,c,KO,Target element has no id attribute
SearchInput,beta,c,KO,Target element has no id attribute
SearchInput,alpha,d,OK,
SearchInput,delta,d,KO,Target element text content is empty
SearchInput,beta,d,KO,Target element text content is empty
SearchInput,alpha,e,OK,
SearchInput,delta,e,KO,Target element text content is empty
SearchInput,beta,e,KO,Target element text content is empty
SearchInput,alpha,f,OK,
SearchInput,delta,f,OK,
SearchInput,beta,f,KO,The parent is null or empty
SearchInput,alpha,g,OK,
SearchInput,delta,g,OK,
SearchInput,beta,g,OK,
SearchInput,alpha,h,OK,
SearchInput,delta,h,OK,
SearchInput,beta,h,OK,
SearchInput,alpha,i,OK,
SearchInput,delta,i,OK,
SearchInput,beta,i,OK,
SearchInput,alpha,j,OK,
SearchInput,delta,j,OK,
SearchInput,beta,j,OK,
SearchInput,alpha,k,OK,
SearchInput,delta,k,OK,
SearchInput,beta,k,OK,
ArtistCard,alpha,a,OK,
ArtistCard,beta,a,KO,Target element has no attributes
ArtistCard,gamma,a,KO,Target element has no attributes
ArtistCard,alpha,b,OK,
ArtistCard,beta,b,KO,Target element has no valid candidate attributes
ArtistCard,gamma,b,KO,Target element has no valid candidate attributes
ArtistCard,alpha,c,KO,Target element has no id attribute
ArtistCard,beta,c,KO,Target element has no id attribute
ArtistCard,gamma,c,KO,Target element has no id attribute
ArtistCard,alpha,d,KO,Target element text content is empty
ArtistCard,beta,d,OK,
ArtistCard,gamma,d,KO,Target element text content is empty
ArtistCard,alpha,e,KO,Target element text content is empty
ArtistCard,beta,e,OK,
ArtistCard,gamma,e,KO,Target element text content is empty
ArtistCard,alpha,f,KO,The parent is null or empty
ArtistCard,beta,f,OK,
ArtistCard,gamma,f,OK,
ArtistCard,alpha,g,OK,
ArtistCard,beta,g,OK,
ArtistCard,gamma,g,OK,
ArtistCard,alpha,h,OK,
ArtistCard,beta,h,OK,
ArtistCard,gamma,h,OK,
ArtistCard,alpha,i,OK,
ArtistCard,beta,i,OK,
ArtistCard,gamma,i,OK,
ArtistCard,alpha,j,OK,
ArtistCard,beta,j,OK,
ArtistCard,gamma,j,OK,
ArtistCard,alpha,k,OK,
ArtistCard,beta,k,OK,
ArtistCard,gamma,k,OK,
ArtistName,alpha,a,KO,Target element has no attributes
ArtistName,delta,a,OK,
ArtistName,beta,a,KO,Target element has no attributes
ArtistName,alpha,b,KO,Target element has no valid candidate attributes
ArtistName,delta,b,OK,
ArtistName,beta,b,KO,Target element has no valid candidate attributes
ArtistName,alpha,c,KO,Target element has no id attribute
ArtistName,delta,c,KO,Target element has no id attribute
ArtistName,beta,c,KO,Target element has no id attribute
ArtistName,alpha,d,OK,
ArtistName,delta,d,KO,Target element has no child nodes
ArtistName,beta,d,KO,Target element text content is empty
ArtistName,alpha,e,OK,
ArtistName,delta,e,KO,Target element has no child nodes
ArtistName,beta,e,KO,Target element text content is empty
ArtistName,alpha,f,OK,
ArtistName,delta,f,OK,
ArtistName,beta,f,OK,
ArtistName,alpha,g,OK,
ArtistName,delta,g,OK,
ArtistName,beta,g,OK,
ArtistName,alpha,h,OK,
ArtistName,delta,h,OK,
ArtistName,beta,h,OK,
ArtistName,alpha,i,OK,
ArtistName,delta,i,OK,
ArtistName,beta,i,OK,
ArtistName,alpha,j,OK,
ArtistName,delta,j,OK,
ArtistName,beta,j,OK,
ArtistName,alpha,k,OK,
ArtistName,delta,k,OK,
ArtistName,beta,k,OK,
