Nome,Elemento,Mutazione,Stato,Errore
NavbarSongs,alpha,a,KO,Target element has no attributes
NavbarSongs,beta,a,KO,Target element has no attributes
NavbarSongs,alpha,b,KO,Target element has no valid candidate attributes
NavbarSongs,beta,b,KO,Target element has no valid candidate attributes
NavbarSongs,alpha,c,KO,Target element has no id attribute
NavbarSongs,beta,c,KO,Target element has no id attribute
NavbarSongs,alpha,d,KO,Target element text content is empty
NavbarSongs,beta,d,OK,
NavbarSongs,alpha,e,KO,Target element text content is empty
NavbarSongs,beta,e,OK,
NavbarSongs,alpha,f,KO,The parent is null or empty
NavbarSongs,beta,f,OK,
NavbarSongs,alpha,g,OK,
NavbarSongs,beta,g,OK,
NavbarSongs,alpha,h,OK,
NavbarSongs,beta,h,OK,
NavbarSongs,alpha,i,OK,
NavbarSongs,beta,i,OK,
NavbarSongs,alpha,j,OK,
NavbarSongs,beta,j,OK,
NavbarSongs,alpha,k,OK,
NavbarSongs,beta,k,OK,
PlayPauseBtn,alpha,a,OK,
PlayPauseBtn,delta,a,OK,
PlayPauseBtn,beta,a,OK,
PlayPauseBtn,alpha,b,OK,
PlayPauseBtn,delta,b,OK,
PlayPauseBtn,beta,b,OK,
PlayPauseBtn,alpha,c,KO,Target element has no id attribute
PlayPauseBtn,delta,c,KO,Target element has no id attribute
PlayPauseBtn,beta,c,KO,Target element has no id attribute
PlayPauseBtn,alpha,d,KO,Target element text content is empty
PlayPauseBtn,delta,d,KO,Target element text content is empty
PlayPauseBtn,beta,d,KO,Target element text content is empty
PlayPauseBtn,alpha,e,KO,Target element text content is empty
PlayPauseBtn,delta,e,KO,Target element text content is empty
PlayPauseBtn,beta,e,OK,
PlayPauseBtn,alpha,f,OK,
PlayPauseBtn,delta,f,OK,
PlayPauseBtn,beta,f,KO,The parent is null or empty
PlayPauseBtn,alpha,g,OK,
PlayPauseBtn,delta,g,OK,
PlayPauseBtn,beta,g,OK,
PlayPauseBtn,alpha,h,OK,
PlayPauseBtn,delta,h,OK,
PlayPauseBtn,beta,h,OK,
PlayPauseBtn,alpha,i,OK,
PlayPauseBtn,delta,i,OK,
PlayPauseBtn,beta,i,OK,
PlayPauseBtn,alpha,j,OK,
PlayPauseBtn,delta,j,OK,
PlayPauseBtn,beta,j,OK,
PlayPauseBtn,alpha,k,OK,
PlayPauseBtn,delta,k,OK,
PlayPauseBtn,beta,k,OK,
NextBtn,alpha,a,OK,
NextBtn,beta,a,OK,
NextBtn,gamma,a,KO,Target element has no attributes
NextBtn,alpha,b,OK,
NextBtn,beta,b,OK,
NextBtn,gamma,b,KO,Target element has no valid candidate attributes
NextBtn,alpha,c,KO,Target element has no id attribute
NextBtn,beta,c,KO,Target element has no id attribute
NextBtn,gamma,c,KO,Target element has no id attribute
NextBtn,alpha,d,KO,Target element text content is empty
NextBtn,beta,d,KO,Target element text content is empty
NextBtn,gamma,d,KO,Target element text content is empty
NextBtn,alpha,e,KO,Target element text content is empty
NextBtn,beta,e,KO,Target element text content is empty
NextBtn,gamma,e,KO,Target element text content is empty
NextBtn,alpha,f,KO,The parent is null or empty
NextBtn,beta,f,OK,
NextBtn,gamma,f,KO,The parent is null or empty
NextBtn,alpha,g,OK,
NextBtn,beta,g,OK,
NextBtn,gamma,g,OK,
NextBtn,alpha,h,OK,
NextBtn,beta,h,OK,
NextBtn,gamma,h,OK,
NextBtn,alpha,i,OK,
NextBtn,beta,i,OK,
NextBtn,gamma,i,OK,
NextBtn,alpha,j,OK,
NextBtn,beta,j,OK,
NextBtn,gamma,j,OK,
NextBtn,alpha,k,OK,
NextBtn,beta,k,OK,
NextBtn,gamma,k,OK,
NowPlaying,alpha,a,OK,
NowPlaying,beta,a,KO,Target element has no attributes
NowPlaying,gamma,a,KO,Target element has no attributes
NowPlaying,alpha,b,OK,
NowPlaying,beta,b,KO,Target element has no valid candidate attributes
NowPlaying,gamma,b,KO,Target element has no valid candidate attributes
NowPlaying,alpha,c,KO,Target element has no id attribute
NowPlaying,beta,c,KO,Target element has no id attribute
NowPlaying,gamma,c,KO,Target element has no id attribute
NowPlaying,alpha,d,OK,
NowPlaying,beta,d,KO,Target element text content is empty
NowPlaying,gamma,d,KO,Target element text content is empty
NowPlaying,alpha,e,OK,
NowPlaying,beta,e,KO,Target element text content is empty
NowPlaying,gamma,e,KO,Target element text content is empty
NowPlaying,alpha,f,KO,The parent is null or empty
NowPlaying,beta,f,OK,
NowPlaying,gamma,f,OK,
NowPlaying,alpha,g,OK,
NowPlaying,beta,g,OK,
NowPlaying,gamma,g,OK,
NowPlaying,alpha,h,OK,
NowPlaying,beta,h,OK,
NowPlaying,gamma,h,OK,
NowPlaying,alpha,i,OK,
NowPlaying,beta,i,OK,
NowPlaying,gamma,i,OK,
NowPlaying,alpha,j,OK,
NowPlaying,beta,j,OK,
NowPlaying,gamma,j,OK,
NowPlaying,alpha,k,OK,
NowPlaying,beta,k,OK,
NowPlaying,gamma,k,OK,
